CSU_TRAIT_ID,TRT,H_num,HT,L_num,LWS,LWD,RWD,LWF_A,LWS_A,LWD_A,LWF_B,LWS_B,LWD_B,NOTES,Round
ELTR_CULT_RV_38,C,2,15.4,3,0.068,0.0133,0.0114,,,,,,,,B
ELTR_CULT_RV_39,C,2,11.9,3,0.0278,0.0059,0.0048,,,,,,,,B
ELTR_CULT_RV_40B,C,2,14.7,3,0.0583,0.011,0.006,,0.0172,0.0032,,0.0034,0.0011,,B
ELTR_CULT_RV_41,D,1,9.1,1,0.0135,0.0028,0.0025,,,,,,,,B
ELTR_CULT_RV_42,D,1,7.6,2,0.0134,0.0029,0.0023,,,,,,,,B
ELTR_CULT_RV_43,D,1,6.8,1,0.0071,0.0018,0.0018,,,,,,,,B
ELTR_CULT_RV_44,D,1,10.5,1,0.0146,0.004,0.0028,,,,,,,,B
ELTR_CULT_RV_45,C,1,9.4,1,0.0126,0.0029,0.0022,,,,,,,,B
ELTR_CULT_RV_47,B,1,8.7,1,0.0127,0.0025,0.0032,,,,,,,,B
ELTR_CULT_RV_48,B,1,9.5,2,0.0144,0.0036,0.0037,,,,,,,,B
ELTR_CULT_RV_49,C,1,9.1,2,0.011,0.0025,0.0022,,,,,,,,B
ELTR_CULT_RV_50,C,1,9.3,1,0.0076,0.0037,0.0018,,,,,,,,B
ELTR_CULT_RV_51,C,1,8.4,1,0.0096,0.0019,0.0023,,,,,,,,B
ELTR_CULT_RV_52,C,1,9.4,2,0.0153,0.0035,0.0035,,,,,,,,B
ELTR_CULT_RV_53,C,2,16.3,4,0.0658,0.0131,0.0084,,0.025,0.005,,0.0038,0.0011,,B
ELTR_CULT_RV_54,D,2,6.9,2,0.0148,0.0037,0.0044,,,,,,,,B
ELTR_CULT_RV_55,D,2,6.5,1,0.0053,0.0012,0.0015,,,,,,,,B
ELTR_CULT_RV_56,B,2,22.8,4,0.097,0.0203,0.0111,,0.0186,0.0043,,0.006,0.0013,,B
ELTR_CULT_RV_57,D,2,7.8,,0.0107,0.003,0.0028,,,,,,,,B
ELTR_CULT_RV_58,D,2,9.1,,0.0096,0.0029,0.0031,,,,,,,,B
ELTR_CULT_RV_59,B,2,15.5,,0.0499,0.0107,0.0085,,0.0137,,,0.0037,,,B
ELTR_CULT_RV_60,B,2,12.8,3,0.0375,0.0083,0.0071,,,,,,,,B
ELTR_CULT_SL_37,C,1,7.8,2,0.0176,0.0036,0.004,,,,,,,,B
ELTR_CULT_SL_38,C,2,17.6,4,0.083,0.0153,0.0087,,0.0317,0.0043,,0.013,0.0026,,B
ELTR_CULT_SL_39,C,2,17.4,4,0.1102,0.0194,0.0118,,0.0249,0.0041,,0.0068,0.0017,,B
ELTR_CULT_SL_40,C,1,8.2,2,0.0165,0.0029,0.0033,,,,,,,,B
ELTR_CULT_SL_41,D,2,7.4,2,0.0174,0.0034,0.0054,,,,,,,,B
ELTR_CULT_SL_42,D,2,6.4,2,0.0133,0.0025,0.0042,,,,,,,,B
ELTR_CULT_SL_43,D,2,5.8,2,0.0139,0.0022,0.0043,,,,,,,,B
ELTR_CULT_SL_44,D,2,6.3,2,0.0146,0.0021,0.0045,,,,,,,,B
ELTR_CULT_SL_45,C,1,7.1,2,0.0094,0.0018,0.0022,,,,,,,,B
ELTR_CULT_SL_46,B,1,8.9,2,0.0149,0.0033,0.0037,,,,,,,,B
ELTR_CULT_SL_47,B,1,8.1,2,0.0137,0.0029,0.0022,,,,,,,,B
ELTR_CULT_SL_48,B,1,8.6,2,0.0135,0.0024,0.0025,,,,,,,,B
ELTR_CULT_SL_49,B,2,18.5,4,0.1185,0.0216,0.0134,,0.0296,0.006,,0.0058,0.0015,,B
ELTR_CULT_SL_50,B,2,20.1,4,0.1168,0.0213,0.0106,,0.0246,0.0051,,0.0059,0.001,,B
ELTR_CULT_SL_51,C,2,,4,0.0921,0.0196,0.0112,,,,,,,,B
ELTR_CULT_SL_52,B,2,6,2,0.0105,0.0026,0.0045,,,,,,,,B
ELTR_CULT_SL_53,D,1,4.3,1,0.0036,0.0005,0.001,,,,,,,,B
ELTR_CULT_SL_54,D,1,7.3,1,0.0081,0.0018,0.0017,,,,,,,,B
ELTR_CULT_SL_55,D,1,9.1,2,0.016,0.0014,0.0035,,,,,,,,B
ELTR_CULT_SL_56,D,1,5.5,1,0.0077,,0.002,,,,,,,,B
ELTR_CULT_SL_57,B,1,7.9,2,0.0126,0.0028,0.0035,,,,,,,,B
ELTR_CULT_SL_58,C,2,16.1,4,0.078,0.0146,0.0096,,,,,,,,B
ELTR_CULT_SL_59,B,2,14.9,3,0.0547,0.0108,0.005,,,,,,,,B
ELTR_CULT_SL_60,C,1,8.8,2,0.0151,0.0029,0.0036,,,,,,,,B
